         9266571789 function calls (8887106715 primitive calls) in 6283.373 seconds

   Ordered by: cumulative time
   List reduced from 4082 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      600    0.020    0.000 6157.438   10.262 world.py:775(step_world)
    37840    2.504    0.000 6157.418    0.163 world.py:784(step_world_progress)
    40240    0.735    0.000 3721.743    0.092 profile_animation_60m.py:33(timed)
      150  146.553    0.977 2339.800   15.599 magma_transport.py:218(run_magma_transport)
      150 1286.006    8.573 2149.464   14.330 magma_transport.py:185(_weighted_destination_pairs)
    18320  132.190    0.007 1547.142    0.084 lithosphere_plate.py:585(deform)
  2584460    3.756    0.000 1086.546    0.000 threading.py:1097(join)
  2584460   24.331    0.000 1071.699    0.000 {method 'join' of '_thread._ThreadHandle' objects}
      600    1.387    0.002  694.096    1.157 faults.py:648(update_faults)
      600   10.606    0.018  643.970    1.073 erosion.py:1120(apply_erosion)
  1780224   23.103    0.000  526.260    0.000 lithosphere_plate.py:1093(_grow_or_shrink_line_for_deform)
    18320    0.197    0.000  485.730    0.027 lithosphere_plate.py:568(shift)
    18320    0.471    0.000  485.476    0.026 torque.py:512(shift_plate)
2584460/389233    4.970    0.000  460.414    0.001 threading.py:1030(_bootstrap)
2584460/389233   27.580    0.000  457.051    0.001 threading.py:1065(_bootstrap_inner)
   363808    3.491    0.000  454.040    0.001 lithosphere_plate.py:1285(_stretch_end)
    36640   33.768    0.001  453.875    0.012 torque.py:125(gather_boundary_force_inputs)
  2584460    3.347    0.000  447.939    0.000 threading.py:975(start)
 46980048  435.071    0.000  435.126    0.000 {built-in method numpy.array}
  2584460    8.220    0.000  433.669    0.000 threading.py:651(wait)
  2584425    5.201    0.000  405.567    0.000 threading.py:337(wait)
12922160/10337735  236.054    0.000  399.151    0.000 {method 'acquire' of '_thread.lock' objects}
   364252    0.907    0.000  348.978    0.001 lithosphere_plate.py:1068(_separation_components)
   364252  244.489    0.001  347.493    0.001 faults.py:1265(fault_tangent_components)
261286362   65.555    0.000  322.110    0.000 fromnumeric.py:48(_wrapfunc)
160377215   69.338    0.000  304.312    0.000 fromnumeric.py:2245(clip)
197955162  279.295    0.000  279.295    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 63950750  111.818    0.000  266.765    0.000 _linalg.py:2598(norm)
      600    0.838    0.001  249.908    0.417 climate.py:1558(compute_climate)
    18320   71.784    0.004  210.939    0.012 faults.py:1423(_apply_plate_fault_relief)
      600   47.012    0.078  210.167    0.350 faults.py:550(generate_boundary_faults)
    54960    0.047    0.000  209.619    0.004 plates.py:1207(get_neighbours)
    54960   30.168    0.001  209.572    0.004 plates.py:91(_plates_within)
2584460/389233    4.752    0.000  209.480    0.001 {method 'run' of '_contextvars.Context' objects}
2584460/389233  251.274    0.000  207.745    0.001 threading.py:1013(run)
    16770    9.030    0.001  197.651    0.012 lithosphere_plate.py:1726(_fill_corner_notch_frontier)
  2339416   49.875    0.000  181.366    0.000 plates.py:1106(contains_batch)
    36640    3.381    0.000  169.566    0.005 torque.py:434(classify_boundary_nodes)
155973311   30.966    0.000  168.819    0.000 {method 'clip' of 'numpy.ndarray' objects}
      600    0.007    0.000  144.237    0.240 eustasy.py:321(update_sea_level)
      600    5.018    0.008  142.599    0.238 hydrology.py:939(compute_hydrology)
160377215  136.022    0.000  141.260    0.000 _methods.py:96(_clip)
  1619435   55.357    0.000  139.602    0.000 plates.py:1197(collect)
      600    0.024    0.000  137.411    0.229 eustasy.py:236(_solve_sea_level_connected)
    17587    1.386    0.000  137.363    0.008 eustasy.py:225(ocean_water_column_m)
    17587    0.039    0.000  134.373    0.008 eustasy.py:198(_ocean_connected_mask)
    17587  133.615    0.008  134.290    0.008 eustasy.py:149(_seeded_connected_mask)
    16770   25.590    0.002  128.686    0.008 gap_fill_frontier.py:300(fill_gap_by_growing_plates)
943687877/575781820   77.403    0.000  124.745    0.000 {built-in method builtins.len}
       60    0.227    0.004  123.481    2.058 render_image.py:2490(render_png)
       60    3.908    0.065  122.914    2.049 render_image.py:1801(_render_combined_view)
  1774638    9.703    0.000  122.171    0.000 faults.py:507(_emit_boundary_fault_run)
      600    0.117    0.000  120.830    0.201 merge_split.py:764(apply_topology_changes)
  2104240    0.702    0.000  120.212    0.000 plates.py:581(get_bounding_polygon)
    55218    2.911    0.000  119.510    0.002 plates.py:1029(outline_world)
    18320    1.374    0.000  103.416    0.006 faults.py:851(_maybe_spawn_faults)
 78469310   24.100    0.000  103.259    0.000 fromnumeric.py:2474(any)
      600   19.862    0.033  102.581    0.171 faults.py:1528(_generate_earthquakes)
    18320   15.060    0.001  101.378    0.006 faults.py:810(_plate_stress)
 26491172   15.320    0.000  100.955    0.000 fromnumeric.py:66(_wrapreduction)
    55218   34.969    0.001  100.334    0.002 plates.py:817(_plate_outline_loops)
614739001/614738887   70.690    0.000  100.209    0.000 {built-in method builtins.getattr}
   356182    1.059    0.000   91.417    0.000 lithosphere_plate.py:1060(_count_open_prefix)
   708612    0.657    0.000   91.357    0.000 plates.py:1190(all_points_and_elevation)
  7712662   37.942    0.000   89.646    0.000 geometry.py:112(angular_distance)
   356182    3.659    0.000   85.015    0.000 plates.py:134(_contested_by_any)
 11258331    3.131    0.000   83.274    0.000 geometry.py:37(local_xyz)
 11258936   42.088    0.000   82.565    0.000 geometry.py:18(latlon_to_xyz)
    18057    1.960    0.000   82.157    0.005 merge_split.py:588(maybe_split_plate)
  2288986    2.253    0.000   81.657    0.000 geometry.py:120(bounding_sphere)
 80858235   40.214    0.000   81.561    0.000 fromnumeric.py:86(_wrapreduction_any_all)
  2112996   16.613    0.000   71.402    0.000 lithosphere.py:181(back_elevation_gain)
 22292959   11.251    0.000   70.474    0.000 fromnumeric.py:2342(sum)
367904329   47.342    0.000   69.969    0.000 elevation_lines.py:590(__len__)
       60    0.220    0.004   69.856    1.164 biomes.py:1052(smooth_biome_field_blend)
      600    0.372    0.001   66.604    0.111 climate.py:867(compute_ocean_currents)
    18320   13.601    0.001   63.924    0.003 faults.py:1320(_apply_plate_fault_shear)
      600   25.712    0.043   62.977    0.105 erosion.py:607(_earthquake_erosion_multiplier)
