         9266571789 function calls (8887106715 primitive calls) in 6283.373 seconds

   Ordered by: internal time
   List reduced from 4082 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      150 1286.006    8.573 2149.464   14.330 magma_transport.py:185(_weighted_destination_pairs)
 46980048  435.071    0.000  435.126    0.000 {built-in method numpy.array}
197955162  279.295    0.000  279.295    0.000 {method 'reduce' of 'numpy.ufunc' objects}
2584460/389233  251.274    0.000  207.745    0.001 threading.py:1013(run)
   364252  244.489    0.001  347.493    0.001 faults.py:1265(fault_tangent_components)
12922160/10337735  236.054    0.000  399.151    0.000 {method 'acquire' of '_thread.lock' objects}
      150  146.553    0.977 2339.800   15.599 magma_transport.py:218(run_magma_transport)
160377215  136.022    0.000  141.260    0.000 _methods.py:96(_clip)
    17587  133.615    0.008  134.290    0.008 eustasy.py:149(_seeded_connected_mask)
    18320  132.190    0.007 1547.142    0.084 lithosphere_plate.py:585(deform)
 63950750  111.818    0.000  266.765    0.000 _linalg.py:2598(norm)
943687877/575781820   77.403    0.000  124.745    0.000 {built-in method builtins.len}
    18320   71.784    0.004  210.939    0.012 faults.py:1423(_apply_plate_fault_relief)
614739001/614738887   70.690    0.000  100.209    0.000 {built-in method builtins.getattr}
160377215   69.338    0.000  304.312    0.000 fromnumeric.py:2245(clip)
261286362   65.555    0.000  322.110    0.000 fromnumeric.py:48(_wrapfunc)
1843140254   58.280    0.000   58.280    0.000 plates.py:421(plate_id)
  1619435   55.357    0.000  139.602    0.000 plates.py:1197(collect)
  2339416   49.875    0.000  181.366    0.000 plates.py:1106(contains_batch)
367904329   47.342    0.000   69.969    0.000 elevation_lines.py:590(__len__)
      600   47.012    0.078  210.167    0.350 faults.py:550(generate_boundary_faults)
 11258936   42.088    0.000   82.565    0.000 geometry.py:18(latlon_to_xyz)
 80858235   40.214    0.000   81.561    0.000 fromnumeric.py:86(_wrapreduction_any_all)
  2584460   38.328    0.000   38.328    0.000 {built-in method _thread.start_joinable_thread}
  7712662   37.942    0.000   89.646    0.000 geometry.py:112(angular_distance)
    55218   34.969    0.001  100.334    0.002 plates.py:817(_plate_outline_loops)
    36640   33.768    0.001  453.875    0.012 torque.py:125(gather_boundary_force_inputs)
    31499   32.881    0.001   49.594    0.002 mantle.py:83(flow_at)
  8250634   32.556    0.000   48.538    0.000 lithosphere.py:129(isostatic_elevation)
 11322140   31.633    0.000   36.925    0.000 shape_base.py:378(stack)
155973311   30.966    0.000  168.819    0.000 {method 'clip' of 'numpy.ndarray' objects}
    54960   30.168    0.001  209.572    0.004 plates.py:91(_plates_within)
    17997   27.648    0.002   27.648    0.002 {method 'tolist' of 'numpy.ndarray' objects}
